iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CHN,China,MtCO2e,1826.08,1954.9,2070.89,2298.13,2420.38,2741.38,2723.27,2786.88,2889.06,2806.46,2999.34,3199.01,3466.08,4094.34,4783.16,5494.58,6107.42,6663.14,6869.56,7389.04,8144.89,8574.58,8832.57,9271.15,9313.07,9151.3,9213.01,9441.36,9919.35,10114.97,10296.84
USA,United States,MtCO2e,4435.74,4398.72,4470.85,4586.28,4657.73,4708.19,4864.59,5134.42,5181.68,5200.25,5367.14,5356.69,5201.47,5267.44,5346.69,5361.85,5261.38,5344.56,5166.56,4764.57,5000.25,4764.69,4547.1,4683.03,4698.08,4581.54,4672.82,4597.65,4753.71,4596.26,4099.07
IND,India,MtCO2e,341.19,384.84,403.9,428.96,463.51,515.48,551.7,596.9,613.9,678.94,715.45,957.22,989.13,1015.44,1089.33,1140.12,1218.86,1340.39,1428.03,1568.54,1663.64,1690.59,1843.28,1906.27,2080.94,2091.86,2159.66,2273.21,2422.58,2388.32,2165.2
RUS,Russia,MtCO2e,1811.01,1783.92,1678.5,1527.92,1332.72,1283.13,1248.77,1137.09,1135.66,1171.91,1212.27,821.19,819.34,863.93,854.98,865.91,908.62,911.77,908.67,800.01,871.34,1034.09,1011.08,967.97,947.16,927.79,1035.34,1058.47,1125.52,1168.51,1083.43
IDN,Indonesia,MtCO2e,758.9,772.88,781.98,795.64,809.71,835.67,713.82,1427.05,848.08,788.24,734.27,569.7,938.99,697.87,966.65,763.98,1088.24,672.24,663.29,965.53,703.62,1211.24,1228.39,1173.35,1462.03,1501.22,984.37,990.63,1180.95,1393.77,1053.73
JPN,Japan,MtCO2e,1015.1,1028.55,1039.63,1032.13,1085.25,1095.51,1109.14,1097.08,1054.75,1093.44,1108.9,1075.12,1109.52,1116.68,1110.04,1118.15,1095.66,1130.45,1061.21,1004.64,1059.4,1164.56,1205.03,1218.03,1167.88,1128.88,1133.09,1119.05,1079.33,1041.85,982.26
BRA,Brazil,MtCO2e,1236.5,1244.07,1246.46,1253.88,1261.12,1279.91,1301.04,1319.96,1329.23,1339.61,1352.32,1420.58,1418.97,1412.02,1429.8,1432.97,1436.91,1453.84,1474.91,1451.28,1499.21,680.44,716.38,748.99,773.77,747.49,831.54,840.16,818.32,818.79,798.61
IRN,Iran,MtCO2e,178.06,198.69,213.24,216.31,246.28,251.1,259.4,271.98,270.58,302.95,320.04,309.8,325.61,345.51,373.39,406.53,439.91,469.87,478.78,498.03,496.9,552.05,559.12,583.7,605.36,599.18,607.27,626.48,637.49,625.31,616.62
COD,Democratic Republic of the Congo,MtCO2e,370.77,369.33,369.07,369.49,369.8,369.7,369.87,369.86,369.87,369.69,369.22,369.15,369.23,369.58,369.52,369.79,369.86,370.05,370.13,370.08,370.23,604.27,604.08,605.21,606.39,604.49,603.68,604.1,604.07,604.28,604.27
DEU,Germany,MtCO2e,922.56,899.8,860.06,854.3,843.13,841.93,871.55,839.84,832.45,800.7,797.32,847.71,833.3,836.56,820.69,802.01,814.04,783.43,789.31,734.41,772.68,735.22,748.87,764.89,724.72,731.02,735.67,720.71,696.28,647.12,591.78
CAN,Canada,MtCO2e,501.53,495.34,508.41,504.09,518.8,530.55,544.27,559.47,567.7,577.51,597.71,825.91,843.72,863.93,855.86,868.39,859.79,890.77,869.63,840.48,856.2,702.41,699.36,708.83,714.86,711.86,609.94,621.29,632.98,619.55,570.49
KOR,South Korea,MtCO2e,205.24,232.36,254.61,285.17,311.84,342.97,367.55,389.2,324.13,359.44,404.8,396.55,400.88,403.79,425.79,420.88,427.73,443.57,454.8,466.52,515.1,548.02,549.86,549.14,537.63,557.37,569.64,580.38,584.39,566.33,523.88
SAU,Saudi Arabia,MtCO2e,171.4,187.92,202.03,203.25,206.36,204.83,217.65,220.07,233.9,239.52,249.65,254.08,272.25,284.83,299.89,315.29,335.43,354.62,389.71,406.53,446.13,463.76,492.47,503.21,540.52,565.19,561.23,549.75,527.57,526.77,513.56
